comid,known_baseflow,qout_median,qout_max,rp2,rp5,rp10,rp25,rp50,rp100,qout_max_premium,rp100_premium
760694790,18.756999969482422,8.04,307.94,138.977,179.559,202.96,229.36,247.107,263.467,461.9100036621094,395.2005
760551437,1.95,1.95,531.65,102.017,167.187,214.571,278.174,327.808,379.083,797.4750366210938,568.6245
760631309,13.08,13.08,644.07,183.997,298.632,378.259,480.709,557.483,634.166,966.105010986328,951.249
760659987,6292.3701171875,961.07,11994.89,5098.876,7401.713,8877.688,10674.59,11962.582,13208.354,17992.33447265625,19812.531
760703001,0.007000000216066837,0.0,32.25,2.329,4.831,7.882,14.501,22.595,34.843,48.375,52.264500000000005
760580122,1.25,2.27,539.11,151.92,244.988,310.67,396.593,462.071,528.421,808.6649780273438,792.6315000000001
750125088,1.0099999904632568,2.61,577.85,130.727,196.172,245.729,315.606,373.071,435.295,866.7749633789062,652.9425
760496164,1.5049999952316284,0.9,581.1,108.974,213.551,296.83,414.79,510.311,611.28,871.6499633789062,916.92
760649766,6.85,6.85,466.02,84.313,129.671,166.437,221.41,269.115,323.105,699.0299835205078,484.6575
710441003,19.38,19.38,2487.13,410.067,746.048,1047.259,1534.562,1986.647,2525.484,3730.69482421875,3788.226
760559663,22.48699951171875,6.11,626.95,193.762,321.028,405.951,510.502,585.366,657.244,940.4250183105468,985.866
770514997,35.25699996948242,2.62,1229.09,384.735,640.496,823.897,1066.065,1251.799,1440.758,1843.6349487304688,2161.137
750237767,277.6679992675781,203.2,11083.19,2613.867,4333.43,5779.282,8002.102,9976.135,12249.719,16624.78564453125,18374.5785
760416330,24.04,24.04,905.95,218.687,343.224,432.333,550.995,643.186,738.246,1358.9250183105469,1107.369
760551508,0.23000000417232513,0.18,338.15,74.985,131.853,174.151,231.412,276.2,322.411,507.22499084472656,483.6165
760703065,25.642000198364258,40.53,1289.97,443.927,671.588,827.784,1028.95,1180.7,1333.592,1934.9549560546875,2000.388
760533085,60.733001708984375,10.66,603.95,246.256,369.923,438.796,511.428,556.397,594.769,905.9250183105468,892.1535
770513014,1.0570000410079956,0.05,814.63,131.781,279.258,401.195,577.442,721.937,875.666,1221.9450073242188,1313.499
760076411,0.25999999046325684,0.09,120.87,31.142,47.831,59.694,75.446,87.668,100.269,181.30500411987305,150.4035
760641666,567.677978515625,99.36,4219.44,978.494,1601.981,2121.58,2914.739,3614.814,4417.235,6329.159912109375,6625.852499999999
760301701,0.032999999821186066,0.05,24.21,10.702,16.124,19.664,24.018,27.161,30.213,36.31499862670898,45.319500000000005
750133387,74.2249984741211,59.13,4024.15,829.351,1301.213,1657.144,2155.023,2560.47,2995.341,6036.224853515625,4493.0115
760764569,3.497999906539917,3.99,1126.77,282.075,500.752,651.968,841.686,979.148,1111.96,1690.155029296875,1667.94
760639645,33.654998779296875,15.43,716.57,251.169,391.254,477.305,576.37,643.13,704.22,1074.855010986328,1056.33
760682655,15.29,15.29,341.59,118.95,177.143,216.082,265.205,301.573,337.67,512.3849945068359,506.505
760844456,4.36,4.36,2235.98,387.298,684.012,909.304,1220.347,1468.293,1728.216,3353.969970703125,2592.3239999999996
750137514,261.1340026855469,403.6,11665.36,3004.193,4279.789,5211.444,6489.075,7514.986,8605.523,17498.04052734375,12908.284499999998
760535215,5.236000061035156,2.56,256.42,71.909,105.456,132.961,174.543,211.032,252.745,384.6300201416016,379.1175
760443059,0.10999999940395355,0.14,62.07,19.099,29.552,36.177,44.056,49.544,54.709,93.10499954223631,82.0635
770584764,6.7779998779296875,8.62,4657.77,1149.874,2032.167,2690.101,3582.109,4280.535,5001.591,6986.655029296875,7502.3865
750115015,229.94500732421875,389.16,11491.7,2938.582,4189.647,5100.544,6346.295,7344.055,8402.428,17237.55029296875,12603.642
750115016,1.9270000457763672,3.21,683.91,160.228,255.263,322.899,412.288,481.154,551.62,1025.8649597167969,827.4300000000001
760666331,7.62,7.62,559.02,198.526,301.714,362.62,430.453,474.785,514.367,838.530029296875,771.5504999999999
720206044,0.06700000166893005,0.03,21.86,3.364,5.783,7.778,10.777,13.381,16.317,32.790000915527344,24.4755
750084317,0.31200000643730164,1.21,278.29,57.584,95.688,128.788,181.221,229.116,285.611,417.4350128173828,428.4165
760504545,0.8500000238418579,0.98,167.29,46.724,76.055,97.993,128.283,152.586,178.295,250.9349899291992,267.4425
740292835,33.694000244140625,83.11,1087.81,381.475,536.971,642.603,778.75,881.997,986.748,1631.715087890625,1480.122
760588516,19.530000686645508,2.22,599.02,257.473,352.365,414.26,491.481,548.369,604.78,898.530029296875,907.17
770519273,175.99,175.99,4575.54,1363.807,2105.275,2673.608,3481.747,4150.729,4878.528,6863.31005859375,7317.792
760596716,28.285999298095703,3.41,369.72,101.892,152.696,189.491,239.352,278.857,320.332,554.5800018310547,480.498
760541424,17.922000885009766,8.52,602.79,165.239,272.263,351.43,459.365,544.841,634.227,904.1849670410156,951.3405
760557808,0.7360000014305115,0.76,132.05,29.923,48.002,61.338,79.551,94.027,109.229,198.07500457763672,163.8435
760514802,17.92300033569336,5.21,406.4,117.569,174.451,211.424,256.847,289.637,321.508,609.5999908447266,482.26199999999994
760615170,13.27299976348877,6.79,882.67,287.208,412.387,500.153,616.225,706.308,799.403,1324.0049743652344,1199.1045
720199958,0.6690000295639038,1.33,63.03,31.892,41.985,48.202,55.614,60.858,65.896,94.54499816894533,98.844
760647962,113.22699737548828,58.51,2096.28,733.141,1063.864,1273.72,1526.85,1706.673,1879.314,3144.4200439453125,2818.971
750123294,4.29,4.29,912.16,226.618,356.158,452.958,587.163,695.521,810.906,1368.2399597167969,1216.359
760711458,14.15,14.15,429.72,179.05,228.569,258.768,294.599,319.88,344.137,644.5800018310547,516.2055
760650018,30.400999069213867,19.23,827.2,196.807,297.308,377.147,494.534,594.881,707.072,1240.8000183105469,1060.608
760623396,0.593999981880188,0.81,403.22,98.904,156.662,198.86,256.084,301.297,348.563,604.8300018310547,522.8444999999999
760664372,188.17599487304688,188.76,2789.04,1042.241,1472.684,1737.163,2048.312,2264.539,2468.606,4183.56005859375,3702.909000000001
760568116,1.87,1.87,380.46,112.626,186.116,235.236,295.846,339.355,381.224,570.6899871826172,571.836
720204095,35.57,35.57,982.7,516.314,695.753,803.622,929.061,1015.59,1096.928,1474.0500183105469,1645.3920000000005
750082368,4.767000198364258,11.24,155.69,57.065,87.546,108.631,135.932,156.612,177.508,233.53500366210935,266.262
770394435,0.9670000076293945,0.0,426.44,46.307,86.639,118.502,163.739,200.615,239.907,639.6600036621094,359.8605
770459991,0.0,0.02,542.77,74.144,154.736,226.413,338.768,438.784,553.14,814.155029296875,829.71
720193881,73.86199951171875,22.95,833.6,367.643,494.099,569.094,655.284,714.081,768.85,1250.3999633789062,1153.275
760549738,77.38300323486328,37.42,1692.69,612.015,894.39,1080.415,1312.452,1482.62,1650.325,2539.034912109375,2475.4875
760269166,2.122999906539917,9.5,1646.46,353.116,594.978,786.257,1063.321,1295.564,1550.142,2469.68994140625,2325.213
760746356,21.39699935913086,37.99,5014.5,1338.571,2127.318,2663.568,3342.188,3843.473,4338.633,7521.75,6507.9495
760727932,3.2669999599456787,5.43,328.7,84.203,120.948,150.589,194.788,233.099,276.458,493.0500183105469,414.687
760656262,74.4729995727539,15.81,660.25,170.012,252.921,312.799,393.805,457.907,525.156,990.375,787.7339999999999
760781192,724.2360229492188,296.47,5243.08,1755.849,2443.236,2921.506,3551.6,4039.564,4543.382,7864.6201171875,6815.072999999999
720079258,0.328000009059906,1.53,266.92,96.455,137.779,163.873,195.297,217.613,239.047,400.3800201416016,358.5705
740112798,2.861999988555908,9.75,452.29,121.926,187.482,239.786,316.901,382.954,456.897,678.4350128173828,685.3455
750127519,20.731000900268555,92.28,2772.31,870.855,1316.061,1643.292,2092.266,2452.012,2833.148,4158.465087890625,4249.722
760746400,10.82,10.82,350.46,120.34,184.255,230.392,292.559,341.489,392.539,525.6899871826172,588.8085
750162348,23.886999130249023,88.65,6087.03,1049.311,1645.126,2082.388,2678.735,3152.81,3651.151,9130.544677734377,5476.7265
760656307,2.82,2.82,436.72,115.126,193.5,246.799,313.445,361.842,408.829,655.0800018310547,613.2435
710736311,1.2480000257492065,1.33,398.36,78.088,158.653,227.943,333.42,424.85,527.147,597.5399780273438,790.7205000000001
750150080,1.1169999837875366,17.87,2664.37,481.618,786.818,1035.142,1405.986,1726.619,2087.797,3996.55517578125,3131.6955
760728003,23.496999740600586,82.36,1605.8,674.978,938.209,1122.372,1366.169,1555.825,1752.37,2408.7000732421875,2628.555
760672712,3.812000036239624,6.63,391.5,77.229,137.562,189.428,270.207,342.55,426.269,587.25,639.4035
760611272,5.55,5.55,397.04,119.091,194.227,250.037,326.562,387.546,451.684,595.5600128173828,677.5260000000001
760576460,85.54299926757812,42.67,1041.63,365.991,529.763,636.138,767.308,862.517,955.584,1562.4450073242188,1433.376
760613334,42.9119987487793,10.26,1530.25,336.556,531.011,684.569,908.441,1097.975,1307.952,2295.375,1961.928
760506843,0.0,0.01,259.42,58.307,101.912,129.471,161.116,182.112,200.946,389.1300201416016,301.419
750113255,4.644999980926514,1.45,436.29,71.398,119.598,158.613,216.43,265.986,321.352,654.4350128173828,482.028
760539639,6.815999984741211,6.42,1102.03,249.007,426.068,551.164,712.996,834.335,955.273,1653.0450439453125,1432.9095
740190722,8.723999977111816,21.18,562.39,198.351,285.433,342.099,412.16,463.164,513.156,843.5850219726562,769.7339999999999
740229634,17.18,17.18,338.17,152.104,192.69,219.983,255.097,281.778,308.949,507.2550201416016,463.4235
760666632,7.630000114440918,4.59,359.45,99.522,145.815,178.935,223.44,258.463,295.052,539.1750183105469,442.578
760592909,7.400000095367432,7.15,1061.16,245.31,418.172,538.824,693.148,807.61,920.667,1591.7400512695312,1381.0005
760666651,2.62,2.62,561.95,154.072,248.375,318.149,413.642,489.668,569.599,842.9250183105469,854.3985
760637986,87.28299713134766,19.45,648.72,186.244,270.647,327.469,399.824,453.969,508.242,973.0799560546876,762.363
760842792,0.5740000009536743,4.3,2236.79,386.54,683.499,908.963,1220.15,1468.111,1727.946,3355.18505859375,2591.919
760674858,2.5250000953674316,8.87,352.75,114.88,178.196,225.31,290.486,343.039,398.962,529.125,598.443
750094891,0.2070000022649765,0.47,170.45,45.809,68.204,84.633,107.169,125.236,144.396,255.67499542236328,216.594
760709676,7.17,7.17,460.03,85.005,130.229,167.156,222.736,271.272,326.494,690.0449981689453,489.741
760674861,2.97,2.97,481.85,91.842,152.062,203.921,285.435,359.363,446.043,722.7750091552734,669.0645
760637998,51.465999603271484,25.56,1084.75,347.538,551.784,690.676,866.512,996.461,1124.88,1627.125,1687.3200000000002
750283313,9.562999725341797,1.75,513.84,91.369,147.608,198.046,280.391,357.842,451.554,770.7600402832031,677.3309999999999
760807986,4460.86376953125,1896.53,13567.79,7054.644,9390.798,10763.817,12331.573,13395.204,14381.906,20351.68505859375,21572.859
710795843,148.64199829101562,27.7,4685.63,1268.595,2107.479,2668.207,3359.263,3854.489,4330.214,7028.44482421875,6495.321
760529483,25.450000762939453,24.03,907.53,219.004,343.742,432.99,551.833,644.16,739.356,1361.2950439453125,1109.034
750117456,66.66899871826172,92.44,2765.17,869.649,1313.921,1640.496,2088.618,2447.723,2828.22,4147.7548828125,4242.33
750099026,0.1550000011920929,1.63,587.12,166.55,239.955,291.278,358.964,411.347,465.352,880.6799926757812,698.028
750099032,3.359999895095825,0.59,182.3,37.543,62.018,81.842,111.285,136.595,164.956,273.4500045776367,247.43399999999997
760521316,0.9919999837875366,1.94,298.23,81.39,152.388,203.658,270.0,319.306,367.846,447.3450164794922,551.769
710857316,2.08,2.08,573.42,162.974,267.265,337.154,423.77,486.266,546.691,860.1299743652344,820.0365
750103144,0.30000001192092896,0.14,60.0,13.605,22.944,30.486,41.629,51.149,61.755,90.0,92.6325
750166646,17.45,17.45,1846.05,553.035,858.395,1078.66,1374.702,1606.93,1848.43,2769.0750732421875,2772.645
710673027,7.6479997634887695,10.64,1517.08,260.743,437.007,578.848,787.872,966.062,1164.238,2275.6199340820312,1746.357
760771205,1213.498046875,521.83,7325.43,2798.985,3839.601,4555.972,5492.198,6212.28,6951.859,10988.145263671877,10427.7885
750129817,6.058000087738037,11.2,1190.41,374.173,547.961,672.25,839.202,970.547,1107.736,1785.6150512695312,1661.6040000000005
760593054,153.38900756835938,19.04,650.45,181.822,265.136,322.343,396.469,452.851,510.129,975.6750183105468,765.1935000000001
760638117,4.12,4.12,396.21,74.384,121.631,162.211,225.899,283.604,351.23,594.3149871826172,526.845
710853286,4.8420000076293945,4.34,257.39,108.009,156.981,187.946,225.165,251.51,276.726,386.08502197265625,415.089
750138023,13.149999618530273,78.8,1063.83,408.642,619.019,775.541,992.613,1168.291,1355.953,1595.7449340820312,2033.9295
760593068,48.79999923706055,24.7,1062.12,340.581,543.489,682.834,860.746,993.266,1125.063,1593.1799926757812,1687.5945000000002
760771248,141.08999633789062,18.99,920.34,216.986,328.165,409.921,522.132,612.067,707.37,1380.5100402832031,1061.055
750107327,1.4900000095367432,2.51,345.4,75.006,121.642,157.919,209.919,253.177,300.359,518.0999908447266,450.5385
760691392,12.583000183105469,5.07,297.66,77.648,105.103,128.789,165.879,199.42,238.713,446.49000549316406,358.0695
760494787,2.177000045776367,0.64,135.52,34.911,56.579,73.14,96.493,115.618,136.207,203.2800064086914,204.3105
740428484,8.45,8.45,294.28,36.048,62.204,85.197,121.913,155.649,195.6,441.4199981689453,293.4
710666950,0.07,0.07,144.25,18.355,37.258,53.002,76.18,95.618,116.754,216.375,175.131
760675015,2751.27294921875,265.76,6278.85,1876.486,2802.762,3496.905,4467.078,5258.518,6109.894,9418.275146484377,9164.841
760683220,833.5880126953125,80.99,1724.39,537.315,790.941,978.372,1237.438,1446.723,1670.129,2586.585021972656,2505.1935
740217561,80.61299896240234,64.7,1559.7,681.719,947.731,1095.935,1255.512,1357.293,1446.765,2339.5499267578125,2170.1475
710546137,0.22,0.22,1007.6,115.825,302.864,488.16,797.169,1083.335,1418.02,1511.3999633789062,2127.0299999999997
750133979,59.35,59.35,4018.09,829.241,1300.148,1654.756,2150.048,2552.837,2984.372,6027.1351318359375,4476.558
740053734,3.65,3.65,203.31,48.098,72.069,90.396,116.463,138.076,161.638,304.9649963378906,242.457
760646375,4.97,4.97,303.89,88.754,136.217,170.963,218.375,256.136,295.92,455.83502197265625,443.88
710482666,6.395999908447266,19.37,2487.09,410.079,746.066,1047.282,1534.593,1986.684,2525.527,3730.6351318359375,3788.2905
760503033,1.95,1.95,567.85,107.235,179.405,224.384,275.936,310.251,341.197,851.7749633789062,511.7955
750138109,8.359000205993652,20.2,1297.34,400.053,588.08,731.046,933.662,1101.208,1283.548,1946.0099487304688,1925.322
760779528,296.34,296.34,5242.74,1756.07,2443.71,2922.221,3552.706,4041.021,4545.244,7864.1103515625,6817.866
760619799,5.2,5.2,395.84,135.257,203.738,247.891,301.57,339.875,376.724,593.7599945068359,565.086
750115608,3.24,3.24,682.79,160.336,255.358,322.963,412.29,481.093,551.483,1024.1849670410156,827.2244999999999
750115614,1.371999979019165,3.0,348.95,74.911,120.337,155.728,206.592,249.035,295.462,523.4250183105469,443.193
760744736,0.7870000004768372,3.36,1194.93,268.387,480.784,640.159,856.954,1027.049,1202.844,1792.3950805664062,1804.266
760744755,0.16899999976158142,2.33,1325.47,309.762,553.693,734.854,978.856,1168.469,1362.862,1988.2049560546875,2044.293
720239425,0.01600000075995922,0.15,12.16,4.253,6.408,8.091,10.527,12.58,14.849,18.239999771118164,22.2735
750154561,106.15299987792969,134.12,1637.01,638.827,962.635,1186.229,1476.098,1696.21,1919.235,2455.515014648437,2878.8525
760646471,6.295000076293945,2.07,267.61,62.328,101.743,131.627,173.402,207.316,243.545,401.41497802734375,365.3175
760609608,17.709999084472656,5.48,397.11,118.844,193.987,249.971,326.949,388.452,453.277,595.6649780273438,679.9155
760603477,123.81400299072266,48.04,1362.45,313.085,454.147,569.802,744.628,898.042,1073.434,2043.6749267578125,1610.1509999999998
760556382,15.942999839782715,4.96,447.02,94.926,161.64,215.804,296.128,364.952,441.781,670.5299835205078,662.6715
760556394,103.74500274658203,20.12,1007.9,374.079,574.875,695.296,831.149,920.987,1001.95,1511.8500366210938,1502.9250000000002
760601460,2.674999952316284,2.82,689.95,172.515,287.514,377.538,506.877,614.524,731.864,1034.9250183105469,1097.796
760626059,9.630000114440918,3.72,302.0,69.073,109.642,138.671,177.259,207.161,237.914,453.0,356.871
720184215,0.03099999949336052,0.02,11.59,3.735,5.634,6.941,8.628,9.905,11.194,17.385000228881836,16.791
760662936,134.49600219726562,56.29,2052.68,728.87,1053.396,1257.761,1502.714,1675.723,1841.05,3079.019897460937,2761.575
750128031,0.6420000195503235,6.12,1281.88,315.0,493.337,629.249,821.21,978.989,1149.547,1922.8200073242188,1724.3205
760841128,4.29,4.29,2236.79,386.465,683.487,908.987,1220.194,1468.144,1727.942,3355.18505859375,2591.913
760708012,31.891000747680664,7.13,460.54,85.008,130.337,167.261,222.718,271.049,325.945,690.8100128173828,488.9175
760556464,19.02899932861328,20.33,642.58,188.73,273.607,329.873,400.545,452.752,504.53,963.8700256347656,756.795
750169008,16.69,16.69,2305.48,311.216,544.632,771.749,1170.154,1570.167,2081.139,3458.219970703125,3121.7085
760538036,8.711000442504883,2.6,267.95,85.409,129.422,157.21,190.279,213.375,235.189,401.9250183105469,352.7835
750158810,2.3570001125335693,0.44,278.03,77.206,117.373,144.178,177.79,202.488,226.827,417.0449981689453,340.2405
760708072,4.605000019073486,5.71,283.3,90.832,141.17,179.598,234.004,278.843,327.434,424.9499816894531,491.15100000000007
760134641,84.43599700927734,76.39,2861.67,828.245,1308.009,1685.402,2233.61,2696.126,3207.028,4292.5048828125,4810.5419999999995
720243701,3.0360000133514404,12.0,863.35,221.286,381.939,510.668,698.817,857.639,1032.613,1295.0249633789062,1548.9195
760787977,236.4600067138672,64.05,1947.1,560.264,860.364,1091.039,1420.042,1693.238,1991.266,2920.6499633789062,2986.8990000000003
